Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
4235,6,trunk,5956382.0913,644957.4740,1.70
4235,8,trunk,5956382.1131,644957.0314,1.99
4245,17,trunk,5956381.4298,644959.8873,1.70
4245,11,trunk,5956381.3422,644959.8195,1.72
4245,5,trunk,5956381.5430,644959.8165,1.42
4245,1,trunk,5956381.3779,644959.2089,2.18
4245,14,trunk,5956381.6432,644959.4578,1.65
4255,1,trunk,5956380.9501,644962.0512,1.68
4255,31,trunk,5956380.9528,644962.0712,1.64
4255,22,trunk,5956381.0414,644961.8030,1.72
4255,13,trunk,5956381.1629,644961.6421,1.65
4265,13,trunk,5956380.1702,644963.6163,2.39
4265,16,trunk,5956380.2650,644963.8161,2.06
4265,9,trunk,5956380.4165,644963.5541,2.06
4265,3,trunk,5956380.4105,644963.4303,1.81
4265,4,trunk,5956380.6398,644963.6479,1.65
4275,21,trunk,5956379.7774,644965.8786,2.16
4275,12,trunk,5956379.8060,644966.0322,1.83
